Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
"Ted Potter, Jr.",87.0,66.83,2018,286.0,63.03,28.45,57.51,71.024,744,1.0,1.0,0.07400000000000001,-0.094,-0.07400000000000001,-0.2,0.105,"$1,976,198"
Austin Cook,107.0,66.76,2018,292.3,66.51,28.72,62.02,70.469,"1,060",1.0,3.0,0.315,0.569,0.12,-0.045,0.179,"$2,448,920"
Tyler Duncan,97.0,66.74,2018,294.4,69.65,30.19,52.76,71.04,457,,2.0,-0.5660000000000001,0.017,0.273,0.47600000000000003,-0.166,"$944,021"
David Hearn,66.0,66.63,2018,285.1,68.89,29.58,55.65,71.325,315,,2.0,-0.127,-0.031,-0.17,0.379,-0.113,"$622,383"
Alex Cejka,77.0,66.49,2018,286.7,63.77,28.52,64.0,70.675,502,,2.0,0.009000000000000001,0.312,-0.024,-0.16899999999999998,0.495,"$1,198,541"
Ian Poulter,73.0,66.41,2018,293.6,67.01,28.97,57.11,70.593,"1,030",1.0,4.0,0.223,0.85,0.141,0.435,0.051,"$2,714,450"
Joel Dahmen,93.0,66.36,2018,295.8,68.82,29.26,63.31,70.578,676,,3.0,-0.27699999999999997,0.4,0.3,0.381,-0.004,"$1,476,838"
Kevin Kisner,89.0,66.33,2018,290.8,65.38,28.91,60.29,70.729,971,,4.0,0.513,0.037000000000000005,-0.043,-0.316,-0.11800000000000001,"$2,972,285"
J.J. Henry,81.0,66.22,2018,291.8,70.52,30.37,54.77,71.372,239,,1.0,-0.569,-0.193,0.174,0.34,-0.138,"$482,052"
J.J. Spaun,85.0,66.18,2018,298.2,69.48,29.63,55.76,70.525,849,,4.0,-0.149,0.292,0.28600000000000003,0.41,-0.255,"$1,978,906"
Justin Rose,70.0,66.02,2018,303.5,69.95,28.67,63.03,68.993,"1,991",2.0,8.0,0.424,1.952,0.551,0.526,0.45,"$8,130,678"
Kelly Kraft,94.0,65.84,2018,288.6,63.83,28.92,58.93,71.333,627,,3.0,0.075,-0.32,-0.28600000000000003,0.017,-0.126,"$1,496,253"
Conrad Shindler,60.0,65.77,2018,291.3,66.27,29.14,60.0,71.465,92,,,-0.166,-0.313,0.114,-0.008,-0.252,"$187,399"
Scott Piercy,84.0,65.68,2018,296.6,69.72,29.86,55.96,70.736,802,1.0,2.0,-0.569,0.29,0.209,0.5529999999999999,0.09699999999999999,"$1,882,337"
Adam Hadwin,92.0,65.6,2018,289.4,68.04,29.26,58.59,70.75,638,,3.0,0.106,0.596,0.057,0.166,0.267,"$1,932,488"
Ben Silverman,90.0,65.56,2018,290.2,64.95,28.74,57.36,71.281,323,,2.0,0.23800000000000002,-0.20600000000000002,0.069,-0.385,-0.128,"$793,140"
Satoshi Kodaira,51.0,65.53,2018,293.6,60.3,29.88,51.02,72.182,600,1.0,1.0,-0.645,-1.8319999999999999,0.027000000000000003,-0.284,-0.93,"$1,471,462"
Rickie Fowler,74.0,65.33,2018,299.8,69.52,28.99,63.05,69.435,"1,302",,4.0,0.29600000000000004,1.275,0.244,0.494,0.242,"$4,235,237"
Xinjun Zhang,81.0,65.33,2018,298.7,67.04,29.67,58.2,71.486,195,,1.0,-0.43700000000000006,-0.7340000000000001,0.139,-0.254,-0.182,"$420,377"
Kiradech Aphibarnrat,51.0,65.12,2018,294.7,62.2,28.93,55.59,70.62899999999999,,,,0.138,0.511,0.485,-0.247,0.135,
Pat Perez,82.0,65.09,2018,290.9,67.78,29.29,55.63,70.594,"1,116",1.0,4.0,0.115,-0.048,-0.063,-0.138,0.037000000000000005,"$2,962,641"
Lucas Glover,65.0,65.06,2018,297.7,67.12,29.64,59.83,71.066,324,,1.0,-0.18600000000000003,0.276,0.514,-0.043,-0.008,"$789,382"
Richy Werenski,98.0,65.06,2018,291.8,66.97,29.36,56.49,71.185,498,,2.0,-0.109,-0.124,0.077,-0.16899999999999998,0.077,"$1,081,283"
Hunter Mahan,67.0,65.04,2018,296.9,68.96,29.02,58.81,71.135,234,,1.0,0.34600000000000003,0.209,0.465,-0.149,-0.45299999999999996,"$457,337"
Francesco Molinari,73.0,65.04,2018,301.0,70.24,29.63,58.67,69.797,"1,682",2.0,4.0,-0.48700000000000004,1.123,0.69,0.593,0.327,"$5,065,842"
FabiÃ¡n GÃ³mez,88.0,64.99,2018,291.1,67.86,29.38,58.85,71.02,221,,,0.001,-0.106,-0.062,-0.015,-0.03,"$437,032"
Tommy Fleetwood,73.0,64.98,2018,306.9,69.36,29.3,55.77,69.342,"1,130",,5.0,0.324,1.6059999999999999,0.58,0.405,0.29600000000000004,"$3,935,147"
Graeme McDowell,67.0,64.92,2018,293.2,64.5,29.2,59.95,71.001,274,,1.0,0.478,0.6970000000000001,0.124,0.046,0.049,"$581,024"
Louis Oosthuizen,62.0,64.81,2018,299.8,65.74,29.24,64.26,70.157,620,,3.0,-0.026000000000000002,0.521,0.401,-0.261,0.408,"$1,731,493"
Chad Campbell,87.0,64.7,2018,286.5,65.54,29.75,59.39,71.683,361,,2.0,-0.45399999999999996,-0.484,-0.042,-0.01,0.023,"$801,960"
Blayne Barber,69.0,64.67,2018,294.7,69.98,29.66,57.46,70.835,202,,,-0.022000000000000002,-0.040999999999999995,0.10099999999999999,-0.047,-0.073,"$398,137"
Michael Thompson,62.0,64.66,2018,296.4,70.11,29.62,55.77,70.92399999999999,280,,,0.498,0.052000000000000005,-0.073,-0.423,0.05,"$563,972"
Chris Kirk,108.0,64.64,2018,289.8,68.24,28.9,63.53,70.411,756,,4.0,0.073,0.732,-0.048,0.518,0.19,"$1,824,111"
Daniel Berger,81.0,64.58,2018,297.7,66.89,29.42,58.94,70.32,565,,1.0,0.319,0.816,0.1,0.5429999999999999,-0.145,"$1,721,763"
Hudson Swafford,73.0,64.57,2018,302.8,68.99,30.03,54.01,71.619,245,,,-0.26,-0.49200000000000005,0.225,-0.237,-0.221,"$569,391"
Bronson Burgoon,69.0,64.53,2018,302.8,68.44,29.55,55.61,70.70100000000001,446,,2.0,0.107,0.48100000000000004,0.309,0.371,-0.307,"$1,179,616"
Brice Garnett,99.0,64.45,2018,296.7,66.78,29.34,58.63,71.018,634,1.0,2.0,-0.076,-0.31,0.188,-0.14400000000000002,-0.278,"$1,466,224"
Ryan Blaum,81.0,64.31,2018,289.0,66.1,29.13,55.46,70.993,433,,2.0,0.025,-0.033,0.011000000000000001,-0.07400000000000001,0.005,"$980,877"
Johnson Wagner,75.0,64.25,2018,286.1,67.87,28.65,65.41,70.758,338,,,0.623,0.715,-0.213,0.078,0.226,"$656,322"
Kevin Na,91.0,64.13,2018,289.6,64.66,28.07,63.62,70.288,"1,183",1.0,4.0,0.5329999999999999,0.8009999999999999,-0.37799999999999995,0.273,0.373,"$3,578,316"
Zach Johnson,94.0,63.88,2018,289.8,67.43,28.62,62.35,69.911,839,,2.0,0.20600000000000002,1.035,-0.059000000000000004,0.46299999999999997,0.425,"$1,957,635"
John Huh,94.0,63.83,2018,287.1,65.8,28.82,57.94,70.718,480,,2.0,0.16699999999999998,0.251,-0.11,0.24,-0.047,"$974,538"
James Hahn,85.0,63.73,2018,298.7,68.29,29.5,59.62,70.896,596,,1.0,-0.152,0.27899999999999997,0.32299999999999995,0.081,0.027999999999999997,"$1,386,301"
Rod Pampling,62.0,63.69,2018,288.4,62.64,29.31,56.67,72.445,64,,,-0.42100000000000004,-1.094,-0.095,-0.415,-0.163,"$183,806"
Gary Woodland,96.0,63.69,2018,313.5,70.51,29.93,54.45,70.161,"1,044",1.0,3.0,0.006999999999999999,1.0659999999999998,0.8029999999999999,0.484,-0.228,"$3,108,907"
Cameron Percy,56.0,63.66,2018,295.6,69.56,29.36,57.3,70.90899999999999,191,,2.0,-0.205,0.285,0.24100000000000002,0.039,0.21,"$387,612"
Abraham Ancer,98.0,63.64,2018,296.1,66.49,28.91,62.69,70.65899999999999,589,,4.0,-0.055999999999999994,0.32,0.325,0.07400000000000001,-0.022000000000000002,"$1,676,695"
Ben Martin,64.0,63.52,2018,289.6,63.98,28.58,58.8,70.97399999999999,266,,1.0,0.11800000000000001,-0.001,-0.142,0.11900000000000001,-0.096,"$532,936"
Branden Grace,67.0,63.49,2018,298.9,67.1,29.34,57.78,70.41199999999999,590,,2.0,0.35,0.812,0.163,0.174,0.125,"$1,529,289"
Denny McCarthy,71.0,63.45,2018,295.4,68.17,29.41,59.83,70.861,267,,1.0,0.449,0.094,0.011000000000000001,-0.34700000000000003,-0.019,"$498,341"
Aaron Wise,90.0,63.33,2018,302.9,68.81,29.15,56.28,70.247,"1,086",1.0,3.0,0.23800000000000002,0.703,0.41,0.012,0.042,"$3,486,407"
Jason Dufner,71.0,63.3,2018,297.1,64.24,29.58,58.25,71.32300000000001,557,,2.0,-0.057999999999999996,0.011000000000000001,0.256,-0.009000000000000001,-0.17800000000000002,"$1,497,655"
Matt Kuchar,88.0,63.27,2018,288.0,66.81,28.85,63.6,70.461,679,,4.0,0.348,0.5760000000000001,-0.19899999999999998,0.21600000000000003,0.21100000000000002,"$1,720,097"
Martin Laird,73.0,63.22,2018,299.0,65.9,28.83,59.15,70.839,443,,3.0,0.282,0.47,-0.045,0.024,0.209,"$1,017,580"
Roberto DÃ­az,72.0,63.2,2018,286.3,63.73,29.21,58.56,71.73100000000001,107,,,0.168,-0.833,-0.165,-0.6,-0.237,"$235,635"
Paul Casey,74.0,63.14,2018,304.3,67.84,29.07,60.58,69.85,"1,319",1.0,5.0,0.133,0.966,0.138,0.586,0.109,"$3,641,771"
Corey Conners,97.0,62.99,2018,303.3,70.19,29.84,57.52,70.743,353,,1.0,-0.385,0.193,0.501,0.275,-0.198,"$728,296"
Kyle Thompson,50.0,62.99,2018,285.3,62.44,29.61,54.02,72.673,10,,,-0.75,-1.262,-0.534,0.036000000000000004,-0.013999999999999999,"$24,878"
Troy Merritt,89.0,62.93,2018,295.4,65.16,28.74,57.6,70.888,616,1.0,3.0,0.077,0.209,0.138,0.086,-0.092,"$1,326,989"
Andrew Landry,82.0,62.92,2018,291.1,65.63,28.96,56.97,71.059,"1,116",1.0,5.0,-0.01,-0.039,0.20600000000000002,-0.083,-0.152,"$2,642,179"
Hideki Matsuyama,75.0,62.82,2018,302.0,69.29,29.21,60.8,70.02199999999999,607,,2.0,0.132,1.196,0.19399999999999998,0.727,0.14300000000000002,"$2,687,477"
Brandt Snedeker,84.0,62.79,2018,293.1,65.04,28.63,60.08,70.37899999999999,"1,077",1.0,4.0,0.478,0.625,-0.145,-0.026000000000000002,0.318,"$2,448,970"
Zac Blair,64.0,62.76,2018,279.5,66.48,28.97,61.43,71.215,176,,,0.203,0.32299999999999995,-0.345,0.07200000000000001,0.39399999999999996,"$330,507"
Danny Lee,88.0,62.65,2018,290.6,65.05,28.56,60.81,71.196,481,,3.0,0.156,0.057999999999999996,0.005,-0.155,0.051,"$1,269,386"
Charles Howell III,104.0,62.59,2018,300.9,69.33,29.5,60.87,70.219,885,,4.0,0.21899999999999997,0.8009999999999999,0.324,0.163,0.095,"$2,179,725"
Adam Scott,78.0,62.51,2018,304.6,70.66,30.15,54.85,70.42,623,,2.0,-0.285,0.779,0.3,0.639,0.125,"$2,237,641"
Tom Hoge,101.0,62.43,2018,291.4,63.62,28.45,61.41,70.945,594,,3.0,-0.162,0.07400000000000001,0.018000000000000002,0.297,-0.079,"$1,358,542"
Webb Simpson,95.0,62.34,2018,293.7,67.93,28.47,66.1,69.293,"1,710",1.0,7.0,0.6920000000000001,1.432,-0.11599999999999999,0.486,0.37,"$5,376,417"
Chris Stroud,81.0,62.24,2018,289.8,62.94,28.78,59.96,71.628,255,,1.0,0.053,-0.33799999999999997,-0.27699999999999997,-0.055999999999999994,-0.057999999999999996,"$565,466"
Bryson DeChambeau,93.0,62.23,2018,305.7,69.65,29.18,59.84,69.646,"1,617",1.0,7.0,0.34600000000000003,1.558,0.586,0.556,0.07,"$8,094,489"
Jonathan Randolph,71.0,62.18,2018,289.4,60.43,28.63,59.83,71.945,166,,1.0,0.115,-0.877,-0.271,-0.5379999999999999,-0.182,"$453,328"
Rory Sabbatini,91.0,62.05,2018,292.3,67.85,29.07,61.36,70.693,521,,1.0,0.059000000000000004,0.358,0.217,-0.152,0.23399999999999999,"$1,126,057"
Scott Brown,102.0,62.03,2018,292.6,65.65,29.1,54.79,71.329,422,,2.0,0.049,-0.6609999999999999,-0.265,-0.27,-0.175,"$1,076,678"
Tyrrell Hatton,58.0,61.84,2018,298.8,66.46,29.2,62.58,70.09100000000001,550,,4.0,0.335,0.938,0.14800000000000002,0.20199999999999999,0.252,"$1,943,360"
Alex Noren,67.0,61.73,2018,299.2,64.91,28.97,61.74,69.973,989,,3.0,0.758,1.044,0.20800000000000002,0.107,-0.028999999999999998,"$2,699,150"
Patrick Cantlay,87.0,61.58,2018,303.1,70.69,29.8,57.58,69.899,"1,388",1.0,6.0,-0.182,1.0959999999999999,0.622,0.509,0.146,"$3,963,962"
Jordan Spieth,81.0,61.55,2018,299.8,70.47,29.09,61.63,69.904,945,,5.0,-0.034,0.83,0.271,0.409,0.184,"$2,793,536"
J.T. Poston,73.0,61.53,2018,300.7,68.31,29.07,57.53,70.915,448,,2.0,0.135,0.138,0.381,-0.373,-0.005,"$940,661"
Kevin Chappell,77.0,61.27,2018,308.6,66.52,29.64,56.28,70.839,597,,4.0,-0.344,0.32299999999999995,0.608,0.29600000000000004,-0.23600000000000002,"$1,608,338"
Shane Lowry,64.0,61.2,2018,300.7,68.65,30.04,53.48,70.75399999999999,296,,,-0.28600000000000003,0.23800000000000002,0.331,0.245,-0.052000000000000005,"$696,897"
Patrick Rodgers,97.0,61.14,2018,303.5,65.65,29.1,57.22,70.73100000000001,541,,3.0,0.561,0.23199999999999998,-0.039,-0.32299999999999995,0.034,"$1,287,040"
Whee Kim,93.0,61.11,2018,285.8,63.55,28.7,58.56,71.477,764,,3.0,0.42700000000000005,-0.43700000000000006,-0.748,0.03,-0.146,"$1,920,340"
Nick Taylor,94.0,60.94,2018,292.7,67.65,29.48,61.83,71.26899999999999,420,,2.0,-0.312,-0.235,0.049,0.011000000000000001,0.017,"$899,373"
Bud Cauley,55.0,60.81,2018,295.4,64.26,28.58,60.12,71.35600000000001,405,,2.0,0.36700000000000005,0.461,-0.113,-0.032,0.239,"$900,591"
Si Woo Kim,108.0,60.68,2018,290.8,63.78,29.0,57.23,71.367,893,,5.0,-0.168,-0.092,-0.013999999999999999,-0.2,0.29100000000000004,"$2,276,114"
Nate Lashley,51.0,60.58,2018,293.9,68.2,29.32,60.59,70.999,168,,,0.08199999999999999,0.31,0.111,0.036000000000000004,0.08,"$296,650"
Beau Hossler,104.0,60.47,2018,300.0,67.95,28.92,60.0,70.574,957,,5.0,0.685,0.584,0.281,-0.395,0.013000000000000001,"$2,449,707"
D.A. Points,63.0,60.47,2018,280.8,60.2,29.1,53.32,73.01899999999999,162,,1.0,0.11,-1.449,-1.069,-0.541,0.051,"$377,265"
Brendan Steele,74.0,60.47,2018,310.3,69.24,30.36,52.56,71.021,998,1.0,3.0,-0.5760000000000001,0.028999999999999998,0.557,0.243,-0.195,"$2,291,128"
Nicholas Lindheim,77.0,60.44,2018,293.5,68.04,29.25,53.9,71.344,272,,1.0,0.355,-0.32299999999999995,-0.258,-0.368,-0.052000000000000005,"$593,842"
Andrew Putnam,97.0,60.42,2018,293.8,70.47,29.36,61.52,70.579,"1,026",1.0,5.0,0.052000000000000005,0.47200000000000003,-0.146,0.38,0.187,"$2,387,382"
Jonas Blixt,67.0,60.3,2018,293.1,62.02,29.1,56.83,72.134,167,,,0.244,-0.547,-0.424,-0.563,0.196,"$368,518"
Ethan Tracy,72.0,60.25,2018,299.0,64.87,29.44,54.88,72.038,157,,,-0.026000000000000002,-0.813,-0.054000000000000006,-0.424,-0.309,"$364,493"
Byeong Hun An,86.0,60.19,2018,307.9,67.99,29.31,61.16,70.19,913,,4.0,-0.285,0.805,0.475,0.44799999999999995,0.16699999999999998,"$2,599,264"
Marc Leishman,93.0,60.17,2018,298.5,66.67,28.94,59.07,70.26,"1,148",,6.0,0.126,0.624,-0.006,0.21100000000000002,0.292,"$3,771,221"
Sam Saunders,80.0,60.14,2018,302.8,65.02,28.73,55.79,70.794,420,,4.0,0.094,0.226,0.35,-0.081,-0.138,"$981,936"
Anirban Lahiri,82.0,60.09,2018,294.0,64.7,28.99,58.35,70.66,555,,4.0,0.19899999999999998,0.10400000000000001,0.07,-0.285,0.12,"$1,441,205"
Sean O'Hair,67.0,60.09,2018,302.7,63.84,28.97,57.56,71.479,417,,2.0,-0.207,-0.233,0.21100000000000002,-0.073,-0.16399999999999998,"$1,104,865"
Chesson Hadley,103.0,60.07,2018,300.0,67.68,28.99,56.6,70.311,"1,122",,7.0,0.20800000000000002,0.8590000000000001,0.146,0.606,-0.102,"$2,768,863"
Mackenzie Hughes,80.0,60.04,2018,294.9,66.01,29.37,54.19,71.282,227,,1.0,-0.177,-0.013999999999999999,-0.068,0.353,-0.122,"$518,476"
William McGirt,84.0,59.89,2018,289.3,67.59,29.28,62.86,70.791,449,,3.0,0.2,0.17800000000000002,-0.306,0.091,0.19399999999999998,"$933,327"
Xander Schauffele,96.0,59.77,2018,304.9,65.59,29.18,57.81,70.486,"1,081",,5.0,0.196,0.644,0.24,0.235,-0.027000000000000003,"$4,047,538"
Dustin Johnson,77.0,59.46,2018,314.0,70.57,28.47,62.5,68.69800000000001,"2,717",3.0,10.0,0.385,2.372,0.919,0.8290000000000001,0.23800000000000002,"$8,457,352"
Matt Jones,70.0,59.38,2018,304.5,66.49,29.02,60.16,71.112,264,,,-0.034,0.10400000000000001,0.33299999999999996,-0.386,0.192,"$538,681"
Tiger Woods,68.0,59.35,2018,303.6,67.4,28.49,64.16,69.35,"1,162",,5.0,0.266,1.5959999999999999,0.061,0.883,0.385,"$5,443,841"
Billy Hurley III,70.0,59.24,2018,284.0,63.02,29.09,54.93,71.715,73,,,0.025,-0.7020000000000001,-0.696,-0.17,0.139,"$145,725"
Jon Rahm,71.0,59.2,2018,308.9,70.12,29.14,57.18,69.958,"1,430",1.0,5.0,-0.151,0.889,0.8170000000000001,0.047,0.17600000000000002,"$3,992,678"
Ryan Palmer,69.0,59.11,2018,305.2,65.61,28.92,55.38,71.031,500,,2.0,-0.528,-0.231,0.235,0.23600000000000002,-0.174,"$1,484,445"
Harold Varner III,91.0,59.02,2018,308.2,67.79,29.56,58.14,70.971,474,,3.0,-0.024,0.125,0.204,-0.076,0.021,"$1,223,064"
Harris English,84.0,58.99,2018,302.4,63.32,28.76,57.86,71.16199999999999,383,,2.0,0.222,-0.184,-0.21899999999999997,-0.297,0.111,"$799,450"
Greg Chalmers,56.0,58.9,2018,282.8,56.94,28.31,52.85,72.531,133,,1.0,0.79,-1.266,-0.69,-1.192,-0.174,"$288,023"
Stephan Jaeger,81.0,58.76,2018,299.2,67.11,29.61,56.76,71.35600000000001,211,,,-0.14400000000000002,-0.09,0.045,-0.166,0.175,"$422,260"
Jonathan Byrd,70.0,58.59,2018,291.7,68.19,29.5,58.31,71.398,147,,,-0.106,-0.266,-0.542,0.043,0.33899999999999997,"$267,055"
Keith Mitchell,99.0,58.59,2018,312.6,69.42,29.65,56.55,70.92,659,,4.0,-0.504,-0.018000000000000002,0.706,-0.128,-0.092,"$1,641,260"
Martin Piller,79.0,58.51,2018,292.2,60.39,28.52,57.74,71.929,371,,2.0,0.11900000000000001,-1.127,-0.248,-0.8109999999999999,-0.18600000000000003,"$847,304"
Justin Thomas,91.0,58.41,2018,311.8,68.77,28.33,62.47,69.118,"2,634",3.0,8.0,0.272,1.835,0.408,0.8440000000000001,0.311,"$8,694,821"
Brett Stegmaier,67.0,58.38,2018,295.4,70.31,29.48,56.44,71.191,149,,,0.401,0.048,-0.135,0.078,-0.29600000000000004,"$305,607"
Charley Hoffman,87.0,58.34,2018,299.5,66.53,29.19,56.22,70.521,515,,,0.026000000000000002,0.425,0.254,0.21600000000000003,-0.071,"$1,400,637"
Jason Day,75.0,58.32,2018,310.0,65.28,28.24,62.35,69.60300000000001,"1,771",2.0,5.0,0.77,1.285,0.17600000000000002,-0.14,0.479,"$5,087,461"
Bubba Watson,90.0,58.27,2018,313.1,68.21,29.33,56.64,70.384,"1,879",3.0,5.0,0.001,0.555,0.78,0.005,-0.231,"$5,793,748"
Jason Kokrak,99.0,58.06,2018,309.5,70.37,29.59,55.11,70.444,700,,4.0,0.022000000000000002,0.539,0.36,0.257,-0.10099999999999999,"$1,794,431"
Jhonattan Vegas,92.0,57.91,2018,303.6,65.17,29.43,58.6,71.275,394,,1.0,-0.059000000000000004,0.03,0.294,-0.081,-0.124,"$1,137,444"
Adam Schenk,86.0,57.67,2018,305.5,67.92,29.95,54.55,71.37,239,,1.0,0.13,-0.15,0.073,-0.262,-0.091,"$474,923"
Stewart Cink,87.0,57.6,2018,298.1,68.58,29.53,55.69,70.44,758,,3.0,-0.345,0.465,0.057,0.698,0.055,"$1,887,208"
Matt Atkins,56.0,57.5,2018,301.4,63.46,29.12,57.6,72.251,44,,,-0.198,-1.129,0.134,-1.0390000000000001,-0.027000000000000003,"$89,104"
Talor Gooch,78.0,57.31,2018,298.9,63.58,28.94,59.53,71.149,308,,,0.031,-0.163,-0.322,0.075,0.053,"$654,200"
Bill Haas,76.0,57.27,2018,296.2,64.79,29.23,60.34,71.028,262,,1.0,-0.059000000000000004,0.079,-0.177,-0.052000000000000005,0.368,"$638,414"
J.B. Holmes,77.0,57.13,2018,306.1,65.26,29.01,57.14,70.789,640,,3.0,-0.207,0.5489999999999999,0.565,0.159,0.032,"$1,595,942"
Cameron Smith,85.0,57.03,2018,298.4,63.18,28.36,61.12,70.517,821,,5.0,0.115,0.21899999999999997,-0.14800000000000002,0.034,0.218,"$3,622,607"
Tyrone Van Aswegen,101.0,56.98,2018,290.3,65.23,28.98,58.08,71.243,364,,1.0,-0.01,-0.32299999999999995,-0.493,-0.008,0.187,"$763,584"
Jamie Lovemark,92.0,56.92,2018,303.2,64.65,28.64,61.07,70.734,576,,3.0,0.01,0.38799999999999996,-0.10099999999999999,-0.04,0.519,"$1,377,286"
Peter Malnati,87.0,56.86,2018,290.9,62.99,28.07,61.3,70.84100000000001,226,,,0.619,0.244,-0.37200000000000005,-0.257,0.255,"$420,001"
Brooks Koepka,64.0,56.85,2018,313.4,68.28,28.76,63.28,69.444,"2,012",2.0,5.0,0.168,1.22,0.6579999999999999,0.23199999999999998,0.162,"$7,094,047"
Sung Kang,89.0,56.72,2018,293.1,63.2,29.24,52.4,71.954,480,,2.0,-0.235,-1.041,-0.488,-0.094,-0.225,"$1,243,309"
Scott Stallings,96.0,56.57,2018,299.7,65.62,29.14,60.86,70.719,470,,2.0,-0.07,0.27,-0.008,0.373,-0.025,"$1,147,573"
Shawn Stefani,76.0,56.52,2018,299.6,67.49,29.27,58.43,71.192,268,,1.0,-0.034,0.107,-0.09300000000000001,0.22,0.013000000000000001,"$523,204"
Robert Garrigus,80.0,56.37,2018,307.9,65.28,29.2,56.84,71.457,353,,1.0,-0.569,-0.213,0.21,0.331,-0.18600000000000003,"$702,030"
Nick Watney,94.0,56.33,2018,307.5,67.96,29.26,55.68,70.862,491,,1.0,0.2,0.34299999999999997,0.17,0.141,-0.16699999999999998,"$1,402,833"
Rob Oppenheim,74.0,56.26,2018,285.2,64.05,28.91,59.55,71.532,148,,,0.045,-0.542,-0.662,0.026000000000000002,0.05,"$279,019"
Grayson Murray,72.0,56.0,2018,307.3,62.5,28.94,54.32,72.09100000000001,438,,2.0,-0.35,-0.336,0.375,-0.34700000000000003,-0.015,"$1,056,628"
