Course,Hole,Club Type,Shot Distance in Yards,Power,Above Below Break,Shot Outcome in Yards,Break,Lie of the Ball,Texture of Ground,,Made Green,Made Hole,Made Fairway,Made Rough,Tournament Yards,Score,Mistake,Temperature,Sky,Humidity,Wind,Precipitation,Pressure in Inches,Cloud Cover,Dew Point,Date,Tee Time
Heartwell,7,Hybrid,106,,,106,Drive,,,,Yes,No,No,No,106,3,,63 °F,Fair,75%,8 mph Wind WSW,0%,30.01,69%,55 F,Mon 12/23/2024,3:40 PM
Heartwell,7,Putter,8,1 shoe,Above Break,7,Putt,,,Right,No,No,No,No,106,3,,63 °F,Fair,75%,8 mph Wind WSW,0%,30.01,69%,55 F,Mon 12/23/2024,3:40 PM
Heartwell,8,Driver,122,,,108,Drive,,,,No,No,Yes,No,122,4,,63 °F,Fair,75%,8 mph Wind WSW,0%,30.01,69%,55 F,Mon 12/23/2024,3:40 PM
Heartwell,8,PW,14,,,7,Chip,,,,No,No,No,No,122,4,,63 °F,Fair,75%,8 mph Wind WSW,0%,30.01,69%,55 F,Mon 12/23/2024,3:40 PM
Heartwell,8,Putter,7,1 shoe,Below Break,10,Putt,,,Right,No,No,No,No,122,4,,63 °F,Fair,75%,8 mph Wind WSW,0%,30.01,69%,55 F,Mon 12/23/2024,3:40 PM
Heartwell,9,Driver,135,,,125 short on fringe,Drive,,,,No,No,Yes,No,135,3,,63 °F,Fair,75%,8 mph Wind WSW,0%,30.01,69%,55 F,Mon 12/23/2024,3:40 PM
Heartwell,9,Putter,10,1 shoe,Above Break,7,Putt,,,Right,No,No,No,No,135,3,,63 °F,Fair,75%,8 mph Wind WSW,0%,30.01,69%,55 F,Mon 12/23/2024,3:40 PM
Heartwell,1,Hybrid,115,Large,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,1,Putter,7,1 shoe,Above Break,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,1,Putter,1,,,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,2,Hybrid,127,Large,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,2,PW,24,,,,Chip,,,,,,,,,,,,,,,,,,,,
Heartwell,2,Putter,4,Large,,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,3,8i,86,Large,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,3,Putter,11,1-2Shoe,Above,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,3,Putter,1,,,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,4,Hybrid,112,Large,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,4,PW,30,,,,Chip,,,,,,,,,,,,,,,,,,,,
Heartwell,4,Putter,5,,Above Break,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,5,FD,120,,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,5,Putter,9,,Above Break,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,6,FD,117,,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,6,SW,14,,,,Chip,,,,,,,,,,,,,,,,,,,,
Heartwell,6,Putter,4,,Below Break,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,7,Hybrid,105,,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,7,Putter,11,,Above Break,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,7,Putter,2,,,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,8,Hybrid,105,,Above Break,,Putt,,,,,,,,,,,,,,,,,,,,
Heartwell,8,Putter,7,,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,9,Driver,143,,,,Drive,,,,,,,,,,,,,,,,,,,,
Heartwell,9,9i,72,,,,Chip,,,,,,,,,,,,,,,,,,,,
Heartwell,9,Putter,11,,,,Putt,,,,,,,,,,,,,,,,,,,,
